test
;Temps;Déplacement machine;Charge;Charge interpolée VIC;Déformation interpolée VIC;Déplacement Delta_L interpolé
113;11.052;0.5494100000000017;4095.28345;4104.19247619048;0.006739984349206362;0.09535496984127058
114;11.152;0.5540800000000026;4111.25439;4111.5468321917815;0.006829722328767137;0.10007409640411027
115;11.252;0.5594300000000025;4119.82666;4111.76772260274;0.006918105890410971;0.1045924011986308
116;11.352;0.5643700000000003;4127.29834;4111.988613013699;0.007006489452054806;0.1091107059931513
117;11.452;0.5692900000000023;4122.05273;4112.209503424658;0.007094873013698641;0.1136290107876718
118;11.552;0.5741400000000034;4134.74268;4112.430393835617;0.007183256575342476;0.11814731558219231
119;11.652;0.5794100000000029;4125.93848;4112.651284246575;0.007271640136986312;0.1226656203767129
120;11.752;0.5845700000000029;4140.39844;4116.618727272728;0.007305489878787881;0.12753357575757632
121;11.852;0.589220000000001;4128.75342;4121.146000000001;0.007331190888888891;0.13245377777777828
122;11.952;0.5943400000000025;4138.96191;4125.673272727273;0.007356891898989901;0.13737397979798022
123;12.052;0.5992200000000025;4134.5;4130.200545454546;0.0073825929090909105;0.14229418181818218
124;12.152;0.604610000000001;4141.2373;4134.727818181818;0.007408293919191921;0.14721438383838423
125;12.252;0.609060000000003;4141.89697;4132.239870609981;0.007443803308687618;0.1521510314232906
126;12.352;0.6144300000000023;4131.12305;4129.1419038817;0.0074801656007393745;0.1570891090573017
127;12.452;0.6191700000000004;4137.62744;4126.043937153419;0.00751652789279113;0.1620271866913128
128;12.552;0.6245900000000013;4137.39258;4122.9459704251385;0.007552890184842886;0.1669652643253239
129;12.652;0.6291100000000007;4133.10693;4119.848003696858;0.007589252476894643;0.1719033419593351
130;12.752;0.634400000000003;4134.54785;4119.41375;0.007694707910958921;0.17681798287671285
131;12.852;0.6392900000000026;4135.32617;4121.53875;0.00786654695205481;0.18171010616438404
132;12.952;0.6445100000000004;4135.63232;4123.66375;0.0080383859931507;0.18660222945205523
